Postcode,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Count salary and wages,Average salary and wages,Median salary and wages,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Count total business income,Average total business income,Median total business income,Count  total business expenses,Average total business expenses,Median total business expenses,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
2204,15036,59313,48098,12882,59874,52000,2353,2288,374,15036,61789,50360,15036,2434,818,1765,63068,23555,1667,43032,10836,12120,16644,11117,19607,80042,30901
2205,10168,51384,42227,8554,53950,47784,1546,-892,-1537,10168,53652,44362,10168,2233,725,1112,85005,28542,1021,71374,13420,7755,13987,9457,11701,62705,20866
2206,10883,61434,46367,8331,60896,51488,2759,3673,1486,10883,64469,48943,10883,2785,795,1125,104318,34140,1084,79997,14916,8416,18894,11592,12251,109363,49091
2207,15130,53675,43301,11877,56183,49071,3120,1678,346,15130,56075,45602,15130,2335,756,1575,93961,36640,1510,72746,17698,11500,15142,9996,17382,95529,39339
2208,7045,53428,42006,5363,55353,47448,1572,2252,1094,7045,55694,44031,7045,2233,633,694,93825,36604,652,75946,18787,5215,15813,10149,8001,97639,39335
2209,8763,49458,39704,6808,52716,45998,1766,126,-110,8763,51541,41541,8763,2040,597,821,79009,30049,774,61206,14448,6323,14092,9199,10076,86846,32672
2210,15995,53694,41661,12377,56015,47460,3018,258,-708,15995,56087,43734,15995,2369,665,1451,86298,35434,1389,64265,15799,11775,16022,9814,18465,116645,41611
2211,9598,52082,44174,7729,55829,49999,1788,-418,-646,9598,54415,46164,9598,2272,764,820,71717,29281,780,52360,14652,7271,14320,10290,10922,102312,43854
2212,8406,52206,44362,7004,54982,48873,1445,-748,-1234,8406,54504,46419,8406,2257,780,729,69088,32728,696,50972,15395,6510,13791,9872,9722,88732,38734
2213,12023,57036,46935,9961,59136,52195,2180,-1336,-1301,12023,59611,49305,12023,2505,880,922,87364,33830,896,64441,15431,9379,16226,11261,13854,117254,53340
2214,2350,54887,45995,1948,56659,50192,368,-889,-980,2350,57467,48424,2350,2561,876,158,91164,39613,155,64530,17052,1826,15097,10735,2797,124100,62992
2216,16831,49472,41000,13937,51580,45511,2783,1553,-108,16831,51798,43043,16831,2263,698,1569,73237,29845,1469,54768,14550,12647,13349,8677,20165,65887,21443
2217,16255,54590,44024,13165,55675,48133,3010,1919,-118,16255,57049,46204,16255,2406,740,1449,81130,34050,1363,61226,15722,12414,15701,9834,18505,88279,29508
2218,9479,49040,40849,7725,52546,46343,1672,-809,-726,9479,51241,42848,9479,2169,658,936,63876,30774,869,45302,15054,7036,13345,8957,10992,77480,28402
2219,7806,66019,47035,5793,62901,52723,1786,2525,659,7806,69498,49958,7806,3232,878,726,108115,37294,695,77386,17161,6002,21692,11925,8633,142628,54417
2220,17926,46493,35956,14023,48460,41250,3737,-376,-827,17926,48458,37311,17926,1905,411,1684,109329,31361,1553,94112,14994,12501,13535,7917,20946,67388,16939
2221,10026,69656,45766,7258,62410,49108,2705,3468,843,10026,73318,48206,10026,3519,687,886,172918,42608,842,127833,18626,7599,24489,12108,10783,168237,49003
2222,7562,52479,42477,6203,54835,47403,1280,544,-732,7562,54695,44356,7562,2124,676,626,70751,30852,589,50102,12493,5712,14758,9437,8573,98003,32392
2223,13101,65290,47927,10349,65142,52728,2792,996,-121,13101,68071,50484,13101,2721,781,1051,101132,33012,1024,67279,12734,10160,20943,12181,14550,158251,55316
2224,8513,65707,44206,6073,63004,50397,1973,2345,537,8513,69176,47231,8513,3370,700,686,117939,32958,661,87451,16791,6342,22637,11620,9387,203654,61217
2225,3418,75058,51820,2724,75569,58838,692,-1783,-1472,3418,78334,54918,3418,3233,1061,295,123006,27897,286,95693,13370,2693,25728,14958,3839,171116,74030
2226,7551,66410,51309,6141,68280,56670,1367,-1250,-928,7551,69315,54030,7551,2845,1008,583,82421,29541,571,57471,12041,5996,20506,13378,8537,152324,71752
2227,8888,65948,49322,7193,67393,54750,1538,-1505,-1275,8888,68944,51760,8888,2906,978,751,74022,30337,731,49194,12692,6940,20844,12683,10047,153394,68186
2228,10987,62363,46653,8725,62448,51601,1826,-20,-491,10987,65418,49356,10987,2956,915,954,83078,33175,918,57029,14390,8511,19372,11403,12384,132071,52828
2229,17939,69491,48410,13798,66400,52802,3412,732,-644,17939,72923,51142,17939,3249,974,1502,144779,36342,1480,114842,15617,13844,23255,12740,19755,168522,62923
2230,19534,76754,51252,15169,67802,54212,3862,819,-501,19534,80577,54392,19534,3732,1081,1833,91824,32942,1756,65472,15294,15490,26679,13206,21947,185492,57127
2231,1332,61827,46220,1103,61042,51314,216,-1210,-576,1332,64877,49487,1332,2967,1178,127,73325,37872,132,50653,16128,1067,17916,10803,1632,106806,48372
2232,19697,60334,48564,16068,63119,54578,3089,-1158,-1210,19697,63093,50999,19697,2662,930,1679,83092,29820,1619,59555,13504,15309,17887,12159,22632,132240,60145
2233,18021,58027,48435,15073,61315,53437,2631,-1852,-1698,18021,60734,50727,18021,2657,1040,1274,77901,32415,1252,54390,14524,14126,16349,11830,20388,137125,70993
2234,20232,63853,49259,16778,63989,52606,4118,-1426,-1171,20232,66948,51833,20232,3018,960,1507,90857,31800,1470,63492,13441,15873,19577,12598,22421,155583,64333
2250,37373,52578,41720,29433,53918,46468,4551,-650,-925,37373,55116,43823,37373,2469,720,3141,88711,30346,3066,63521,14852,27868,14982,9475,42887,109289,44708
2251,18241,53434,40819,13736,55225,45598,2627,-463,-700,18241,56753,43232,18241,3243,771,1817,77943,32571,1775,52476,14201,13319,15816,9654,20516,128145,51212
2256,7722,49543,39684,5811,52685,45050,1082,1017,-280,7722,51851,41610,7722,2250,685,652,73029,29280,639,52592,12590,5530,14037,8861,9151,123359,45100
2257,15089,48638,38294,11250,51379,43578,2086,791,-129,15089,51080,40240,15089,2378,628,1378,89051,31227,1358,67475,13762,10764,13687,8515,18001,117896,44577
2258,3140,56419,43512,2573,54665,46365,440,-437,-1088,3140,59149,46036,3140,2692,762,264,107249,27502,260,75154,13698,2400,16422,10219,3610,126075,48669
2259,28671,49260,40500,23266,51818,44956,3598,-916,-1249,28671,51774,42727,28671,2447,834,2120,92001,34206,2103,70644,16610,21290,13218,8762,33537,89251,40241
2260,14328,60664,43064,10819,59063,47154,2452,-740,-676,14328,63920,45559,14328,3168,832,1513,127957,36400,1473,92096,15998,10736,19237,10977,16039,156457,51629
2261,29316,49754,40577,23734,50888,44888,3407,-522,-1099,29316,52397,42869,29316,2578,907,2391,84741,32927,2329,63327,15847,22099,13286,8213,34228,93384,40642
2262,9341,45407,39072,7847,48067,43006,860,-1313,-1478,9341,47795,41128,9341,2350,895,590,61109,34108,577,42477,17450,6916,11138,7544,11336,66711,32020
2263,10601,44597,37790,8407,47380,41923,1186,179,-992,10601,47231,39890,10601,2418,766,798,69929,30996,784,50498,14748,7672,11238,7378,12798,84486,32462
2264,7048,47948,37832,5250,51813,44502,996,-110,-274,7048,50289,39859,7048,2269,659,556,83216,26213,537,67206,13866,4970,13497,8590,8139,114754,44597
2265,2814,49800,39796,2291,51560,44395,415,-180,-454,2814,54253,42087,2814,4370,697,256,71491,23906,246,55228,14146,2013,14151,9732,3351,98897,41204
2267,1525,52314,39284,1105,55827,45596,263,286,-134,1525,54738,41393,1525,2381,636,99,65688,25757,97,39382,15459,1035,16337,10624,1779,155646,64705
2278,1473,50869,43466,1285,51941,46269,188,-1242,-675,1473,53088,45323,1473,2174,921,114,96138,41378,111,73807,18490,1148,12914,8947,1745,97329,46974
2280,14822,55911,42248,11681,56764,46412,2276,181,-715,14822,58726,44433,14822,2758,766,1021,99338,34816,999,71738,16557,10907,17121,10258,17081,147154,58738
2281,7180,52622,40512,5600,54875,45351,1014,-759,-999,7180,55125,42390,7180,2444,756,530,78084,32508,510,55245,14988,5212,15425,9771,8618,131239,55162
2282,8712,59378,44840,6764,60653,50359,1560,-990,-772,8712,62095,46845,8712,2613,797,656,98420,29226,648,61930,15087,6458,18646,11787,9842,166491,71929
2283,12365,53499,40662,9489,55126,45631,1934,314,-522,12365,55974,42922,12365,2439,742,868,96948,27282,850,70638,13072,8970,16063,9480,14468,146090,51280
2284,5532,50310,41162,4556,53159,45776,734,-1162,-1248,5532,52785,43614,5532,2410,806,364,71352,31021,348,53776,18998,4075,13825,9185,6596,104927,44584
2285,16072,52456,45260,13954,55120,48870,1731,-2299,-1849,16072,54806,47332,16072,2323,906,954,63423,24158,930,44117,12153,12670,13627,9819,18743,96322,49430
2286,1992,48818,42340,1692,52335,47118,248,-2738,-1955,1992,51020,44682,1992,2179,934,116,53688,25177,114,37618,12778,1516,12580,8734,2379,90581,45724
2287,18970,52527,43740,16103,55160,47884,2294,-1985,-1674,18970,54762,45615,18970,2205,841,1148,70008,25658,1126,48691,12502,14540,14262,9934,21949,104247,48071
2289,11183,56303,45711,9017,58905,50783,1776,-691,-772,11183,58857,48116,11183,2516,855,802,91766,29422,774,62596,13382,8490,16399,11419,12594,133903,61028
2290,18664,55331,43755,15114,56291,48040,2631,-691,-930,18664,57935,46030,18664,2577,835,1414,84489,30412,1376,55432,14452,14093,16118,10272,21394,131705,53621
2291,8835,75806,50329,6890,66269,51368,1848,-548,-696,8835,79611,53375,8835,3714,1014,841,175904,37585,804,105488,18513,6923,26467,13642,9692,205356,65804
2292,1392,53902,46154,1222,55482,49288,195,-788,-1294,1392,56205,48508,1392,2289,922,105,62248,34157,103,40312,12432,1122,13785,9745,1713,91652,43421
2293,1691,55542,44820,1434,57041,48240,277,-2897,-2316,1691,58431,47390,1691,2875,943,140,83186,29498,135,65168,13149,1346,14941,10121,1988,116437,41060
2294,1121,54136,45830,967,55221,49059,172,-1794,-2150,1121,56948,48597,1121,2809,1032,100,78665,30336,99,53685,11873,892,14100,10087,1389,89735,35863
2295,3201,55787,44655,2559,58971,51065,555,-1758,-946,3201,58174,46834,3201,2344,735,203,79605,30043,198,55863,12798,2418,15832,10899,3713,132858,61687
2296,1077,52426,45267,949,54211,47214,167,-1368,-936,1077,54903,47710,1077,2436,946,78,81970,28920,76,61919,15048,860,13284,9677,1371,85773,36647
2297,877,51159,42207,763,53136,46072,142,741,-838,877,53809,44879,877,2590,877,83,70469,34383,79,49919,18737,676,13422,9155,1116,83551,36722
2298,4566,49787,42534,3909,51806,47110,510,-1029,-1193,4566,51935,44590,4566,2091,792,311,62853,20978,299,45972,11713,3479,12918,9437,5532,85052,37264
2299,5551,51191,41506,4668,52645,45554,766,-444,-722,5551,53453,43403,5551,2215,743,407,150696,30590,388,127758,15726,4121,14270,9649,6622,99708,36556
2300,7194,78733,50012,5607,64907,51592,1460,451,-355,7194,82760,52994,7194,3950,952,712,156816,32536,673,97193,17921,5668,27767,13172,8422,202605,41705
2302,335,56965,46832,278,57934,50108,54,-2023,-790,335,59760,48657,335,2749,767,30,66413,27710,27,42686,14911,261,15954,11645,414,85504,32906
2303,5193,62862,44671,4075,59205,48097,1044,576,175,5193,65825,47011,5193,2935,766,451,123137,33326,441,81196,12641,3935,20263,11273,6100,152560,49284
2304,7821,49339,42910,6759,51359,46422,923,-1060,-1032,7821,51501,44867,7821,2137,833,558,59398,27083,543,38517,12961,6047,12355,9158,9642,84137,37003
2305,7374,63427,48150,6045,61148,51073,1246,-322,-734,7374,66473,50644,7374,2923,918,578,128575,29432,552,77078,13880,5734,19614,12041,8362,159765,65287
2306,899,38346,35940,785,39638,38594,28,368,-1040,899,39958,37445,899,1611,553,38,37092,15600,36,24015,6457,634,8153,5831,1333,35039,12926
2307,1755,43001,38677,1484,46542,43120,139,-345,-1104,1755,44949,40624,1755,1855,724,98,51111,25270,93,38371,11987,1266,10418,7592,2187,74273,30444
2308,116,27529,16709,108,21886,11508,6,-3736,-2625,116,28796,16758,116,1264,0,0,0,0,0,0,0,39,11326,2722,157,31082,1642
2311,497,42039,31695,330,52206,41150,69,333,-993,497,45002,32338,497,2814,354,93,45947,27273,93,45160,28420,315,12907,8046,529,134155,47193
2312,715,37284,30434,492,40697,34757,102,1082,-50,715,39413,31996,715,1895,358,98,68212,31696,97,59411,23303,456,9335,5301,826,86085,33182
2315,7897,49511,35314,5379,50211,39966,1292,86,-611,7897,51979,37243,7897,2313,505,659,77913,33438,653,50876,15507,5262,15475,8250,8865,176306,56397
2316,3078,49719,37110,2359,50638,41073,496,-1073,-1078,3078,52055,38870,3078,2216,650,281,77144,32996,277,53914,14647,2169,14766,8316,3586,113082,44679
2317,3354,47752,35134,2254,49980,40591,484,1386,-500,3354,50310,37005,3354,2505,555,297,123540,27837,277,107620,13829,2220,14514,7938,3718,172488,54237
2318,6508,53295,44028,5314,56451,50210,1001,-1648,-1255,6508,55586,46228,6508,2258,840,431,76448,25687,435,58257,13635,4914,14864,10750,7350,117049,54860
2319,2937,46197,38402,2248,50608,44888,347,-350,-556,2937,48450,40204,2937,2223,666,204,56342,24504,204,40938,10948,2058,12404,8585,3624,102053,46244
2320,17748,59084,44985,15001,61043,49392,2460,-3229,-2508,17748,61896,47404,17748,2701,889,1144,93331,24943,1145,73760,16050,13591,17670,10747,20454,117601,47318
2321,7700,58114,45105,6436,60308,49256,1057,-1593,-1631,7700,60857,47354,7700,2665,972,622,69957,25878,611,57364,17760,5925,17118,10989,8499,125729,52828
2322,9549,52395,44128,8152,54513,47740,1147,-2709,-1939,9549,54636,45995,9549,2221,794,541,63435,25791,537,43295,14801,7329,14163,9730,11186,101355,47167
2323,13519,54496,44590,11303,57194,49600,1863,-2722,-2160,13519,56880,46912,13519,2320,828,883,77812,25295,874,57183,13098,10319,15266,10412,15795,113897,49634
2324,11587,47213,38823,8931,49777,43563,1503,192,-472,11587,49401,40634,11587,2130,645,792,97838,30489,785,78485,20327,8262,12819,8644,13690,117411,43656
2325,12367,51785,39859,10354,54357,44033,1427,-2084,-1222,12367,54220,42072,12367,2381,849,813,67602,25186,806,53663,18220,9125,14678,8776,15525,101253,38207
2326,3262,49218,40560,2807,51507,43876,367,-2565,-1391,3262,51431,42730,3262,2156,786,202,98647,36485,203,79293,24108,2483,12665,8410,4110,78837,36525
2327,3393,46636,39750,2910,49509,43740,309,-2288,-1360,3393,48645,41712,3393,1996,755,156,78745,25908,152,65404,15358,2527,11757,8066,4346,81994,34655
2328,1307,57011,42681,1058,63481,50473,196,-2852,-2089,1307,59876,45037,1307,2553,969,116,67177,35595,119,60658,35477,976,17017,10202,1502,104801,50325
2329,1048,45535,36879,758,49074,41338,184,616,10,1048,49317,39012,1048,2533,514,133,85837,24933,128,81364,30260,716,13187,7750,1162,104426,36932
2330,11302,68274,48458,9618,71613,55675,1969,-5050,-3320,11302,71066,51338,11302,2610,1116,845,77411,26953,851,72246,27315,8596,22608,14689,13249,127457,53530
2333,6962,65465,48576,6043,69275,55327,1063,-5224,-3203,6962,68323,51267,6962,2754,1480,396,76182,26540,400,70400,24691,5408,20334,13603,8450,113245,45272
2334,1357,56720,44540,1209,60543,50003,150,-4355,-2287,1357,59568,47123,1357,2826,1204,76,48636,25258,77,33842,17510,1058,15739,10701,1679,82546,39549
2335,3317,63538,47568,2847,66772,53349,553,-4170,-2477,3317,66317,49972,3317,2721,1209,234,59818,25950,241,54121,24576,2545,19706,13629,3866,114656,55042
2336,1398,61319,45925,1148,66853,53944,252,-1497,-1744,1398,64740,49284,1398,2805,1316,113,91913,39847,112,82303,29047,1073,18687,12157,1619,118038,52449
2337,4738,73352,39358,3881,56821,44690,650,-1921,-1485,4738,77157,41900,4738,3347,800,438,87623,34712,432,79889,31086,3465,24083,9197,5395,110356,39805
2338,694,43095,33353,515,49156,40370,101,511,81,694,46231,35919,694,2358,644,92,61217,24487,92,60637,23523,441,13116,7578,803,84227,37299
2339,425,40424,31389,276,41622,37458,72,4142,428,425,48021,34061,425,3300,350,62,108570,52304,61,104918,47000,265,13197,6403,438,113384,37948
2340,26739,47775,40582,21593,48796,43996,3708,280,-403,26739,50525,42852,26739,2493,767,2110,94890,29772,2110,74134,18548,19773,12743,8352,30164,100818,39964
2341,627,42290,34929,495,47370,39917,66,951,-378,627,44718,36327,627,2399,579,46,60324,31946,44,57881,26367,444,11007,6304,795,95289,36850
2342,266,40704,34554,174,48165,43434,37,13860,1424,266,45797,37388,266,2769,412,34,76739,44379,34,89748,47156,172,11946,6655,287,119222,37787
2343,2632,44049,36380,1847,46191,40965,335,-655,74,2632,47994,38693,2632,2590,450,274,124220,44104,275,112769,35067,1783,13129,7999,2813,102697,36936
2344,434,39554,37126,313,48716,43072,59,4516,-12,434,42294,39578,434,2332,465,48,41921,31734,47,48826,35575,286,10839,8631,450,141325,49665
2345,453,41136,36974,342,46980,44088,55,529,-760,453,43894,39913,453,2321,785,62,103501,38184,60,85749,42670,312,10904,7907,494,81258,41861
2346,1414,39767,35122,1019,46035,41731,208,1390,583,1414,42448,37548,1414,2051,495,148,95239,33582,149,88925,37381,944,10675,7159,1601,74365,31093
2347,822,37854,30787,512,39910,36420,117,1997,647,822,40847,33601,822,1885,296,147,79559,31046,148,60670,21980,502,11289,6081,888,87303,30377
2350,13650,48667,38676,10712,48686,41924,2116,1277,138,13650,51124,40670,13650,2207,590,1240,79286,26001,1209,60552,16381,9789,13958,8435,15267,131008,40660
2351,80,40270,22086,73,37658,15914,5,-4396,-6809,80,41835,22544,80,1565,225,3,55294,25683,4,19826,12583,42,14955,14024,104,78458,3511
2352,1456,44487,38768,1163,46615,43749,180,286,-656,1456,47087,41059,1456,2373,762,157,92332,28998,160,74225,17723,1059,11439,7821,1624,80083,41092
2353,527,43354,38918,428,47094,43590,70,-91,-380,527,46174,41257,527,2431,769,50,87062,39136,51,75209,36408,387,10353,7575,587,85984,44101
2354,2183,37481,31985,1368,38608,35550,307,381,1105,2183,42068,35509,2183,2410,315,258,106259,40656,261,97497,31561,1373,11350,6255,2117,133931,38372
2355,301,36058,31395,219,40849,37001,32,-300,-598,301,38626,33172,301,1693,449,40,51987,31338,42,36430,19052,194,9615,5884,332,78976,31279
2357,1996,43350,34886,1399,45261,40023,276,1370,384,1996,46650,37614,1996,2059,443,197,93482,27064,195,79598,25625,1349,11767,7202,2245,95624,34505
2358,2092,40529,33852,1498,41231,37986,266,4280,1883,2092,43267,36254,2092,2061,448,251,81522,28143,247,66294,22005,1382,10982,6601,2242,101630,36937
2359,359,32919,28371,210,40785,37056,59,2095,-168,359,36157,30406,359,1933,243,43,96225,36892,45,77144,23681,206,9572,5194,394,62158,25598
2360,7078,41943,36796,5346,43983,40698,880,1486,134,7078,44884,38908,7078,2181,590,683,87263,34200,683,72095,22404,4985,10554,7001,7926,93696,34309
2361,366,28381,25212,229,37027,32221,42,7112,1279,366,31943,27274,366,1939,300,46,58870,28340,47,58485,30355,194,7232,5674,397,69704,26559
2365,1940,35634,31820,1265,39428,36030,252,1246,994,1940,39067,33848,1940,2217,320,270,98876,41148,264,85534,26102,1250,9459,5598,2117,106183,32906
2369,329,37834,34518,256,39936,37592,30,-607,-208,329,39965,36121,329,1918,475,37,56487,26599,36,58204,24851,223,8272,6545,427,62106,16841
2370,3680,36827,31440,2536,42160,37863,457,1269,-94,3680,39471,33419,3680,2167,400,470,91909,34592,468,83278,27038,2288,9866,5963,4054,94893,30497
2371,540,28191,25667,304,36471,32602,57,559,91,540,30628,26702,540,1868,168,61,55964,31861,58,54920,35883,268,8201,4979,537,76605,30624
2372,2456,34129,28975,1592,42037,37580,394,776,-294,2456,37041,30778,2456,2068,430,375,91143,29871,373,85010,32255,1449,9154,5671,2578,103861,37249
2380,5558,52947,41057,4362,56345,45409,768,-1115,-610,5558,55821,43468,5558,2328,635,473,86024,32070,463,70189,22768,4081,15711,9618,6206,102164,41630
2381,612,47645,39313,440,49279,44178,71,1694,452,612,53033,43183,612,3468,656,63,133811,37577,62,123227,36194,430,14245,8909,673,83642,32986
2382,674,48429,38086,479,56223,46745,95,-3061,-1238,674,52466,41248,674,2172,389,77,185549,28490,77,161553,27368,449,15491,10369,780,84172,35884
